,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Castro,BR,-24.7911,-50.0119,65.46,94,100,1.01,overcast clouds
131,Grand Gaube,MU,-20.0064,57.6608,79.2,70,9,7.0,light rain
132,Ilulissat,GL,69.2167,-51.1,-5.78,59,75,23.02,mist
133,Porto Novo,BJ,6.4965,2.6036,75.31,87,5,3.53,clear sky
134,Gat,IL,31.61,34.7642,54.39,100,5,5.75,clear sky
135,Kabansk,RU,52.0486,106.6528,7.93,80,100,3.47,overcast clouds
136,Torbay,CA,47.6666,-52.7314,48.38,97,100,14.97,fog
137,Bereda,ES,43.2686,-7.5406,47.14,100,99,11.86,overcast clouds
138,Kapaa,US,22.0752,-159.319,81.12,71,0,6.91,clear sky
139,Gladstone,AU,-23.85,151.25,80.53,69,100,13.8,overcast clouds
140,Gorom-Gorom,BF,14.4439,-0.2361,66.52,16,44,10.54,scattered clouds
141,Anadyr,RU,64.75,177.4833,-7.1,71,0,15.66,clear sky
142,Anastacio,BR,-20.4836,-55.8069,73.85,91,37,3.33,scattered clouds
143,Pilibhit,IN,28.6333,79.8,42.89,76,0,3.98,clear sky
144,Nemuro,JP,43.3236,145.575,22.14,59,49,8.55,scattered clouds
145,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,24.16,clear sky
146,Hithadhoo,MV,-0.6,73.0833,79.36,67,70,4.32,broken clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,74.12,90,1,22.39,clear sky
148,Bar Harbor,US,44.3876,-68.2039,32.92,90,100,9.22,snow
149,Saint-Prosper,CA,46.2117,-70.4811,22.03,95,100,4.16,light snow
150,Nova Londrina,BR,-22.7658,-52.985,77.11,81,100,4.29,overcast clouds
151,Yar-Sale,RU,66.8333,70.8333,6.28,96,100,13.73,light snow
152,Khorinsk,RU,52.1657,109.7726,-5.98,92,100,1.9,overcast clouds
153,Minab,IR,27.1467,57.0801,61.93,32,9,6.02,clear sky
154,Port Hardy,CA,50.6996,-127.4199,44.78,100,100,3.44,light rain
155,Krasnoselkup,RU,65.7,82.4667,-34.15,98,13,5.93,few clouds
156,Tuatapere,NZ,-46.1333,167.6833,64.26,65,52,8.48,broken clouds
157,La Ronge,CA,55.1001,-105.2842,17.85,93,100,4.61,overcast clouds
158,Istria,RO,44.5667,28.7167,43.97,86,72,19.53,broken clouds
159,Savalou,BJ,7.9281,1.9756,77.16,24,25,0.43,scattered clouds
160,Maraba,BR,-5.3686,-49.1178,75.38,100,0,0.0,clear sky
161,Fairbanks,US,64.8378,-147.7164,4.96,84,0,0.0,clear sky
162,Namanyere,TZ,-7.5167,31.05,59.88,97,100,1.77,light rain
163,Sitka,US,57.0531,-135.33,42.69,70,75,16.11,light rain
164,Mahon,ES,39.8885,4.2658,59.56,72,100,19.57,overcast clouds
165,Khatanga,RU,71.9667,102.5,-40.16,98,25,6.51,scattered clouds
166,Cockburn Town,TC,21.4612,-71.1419,74.25,53,0,9.08,clear sky
167,Zhigansk,RU,66.7697,123.3711,-58.79,100,72,3.94,broken clouds
168,Upernavik,GL,72.7868,-56.1549,-2.96,96,100,6.02,light snow
169,San Patricio,US,28.017,-97.5169,68.09,79,0,3.83,clear sky
170,Bardiyah,LY,31.7561,25.0865,56.14,74,0,9.19,clear sky
171,Talnakh,RU,69.4865,88.3972,-34.62,84,3,3.83,clear sky
172,Severo-Kurilsk,RU,50.6789,156.125,23.34,62,95,14.18,overcast clouds
173,Mahebourg,MU,-20.4081,57.7,79.09,73,40,12.66,scattered clouds
174,Prado,BR,-17.3411,-39.2208,74.73,90,17,6.17,few clouds
175,Faanui,PF,-16.4833,-151.75,81.84,58,91,15.39,overcast clouds
176,Radford,US,37.1318,-80.5764,43.99,50,0,1.01,clear sky
177,Khani,GE,41.9563,42.9566,38.77,66,92,6.85,overcast clouds
178,Gamba,GA,-2.65,10.0,76.8,85,100,3.91,overcast clouds
179,College,US,64.8569,-147.8028,4.95,85,75,0.0,broken clouds
180,Vila Velha,BR,-20.3297,-40.2925,76.95,91,75,4.61,broken clouds
181,Cape Town,ZA,-33.9258,18.4232,72.12,76,0,10.36,clear sky
182,Beyneu,KZ,45.3167,55.2,27.77,70,100,10.38,overcast clouds
183,Saint-Philippe,RE,-21.3585,55.7679,73.11,81,34,12.08,scattered clouds
184,Mirador,BR,-6.3708,-44.3631,70.74,97,100,3.06,overcast clouds
185,Muzhi,RU,65.3667,64.6667,7.43,96,62,6.33,broken clouds
186,Shakawe,BW,-18.3667,21.85,67.84,86,100,3.6,overcast clouds
187,Lebu,CL,-37.6167,-73.65,55.47,89,0,15.52,clear sky
188,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.59,40,0,6.71,clear sky
189,Puerto Leguizamo,CO,-0.1934,-74.7819,71.98,95,97,1.5,overcast clouds
190,Horni Benesov,CZ,49.9668,17.6026,35.08,90,100,14.88,overcast clouds
191,Smidovich,RU,48.6,133.8167,-13.49,96,63,4.68,broken clouds
192,Qasigiannguit,GL,68.8193,-51.1922,-5.55,80,57,7.81,broken clouds
193,Marawi,PH,7.9986,124.2928,77.02,79,100,1.57,overcast clouds
194,Giyani,ZA,-23.3025,30.7187,70.72,89,100,7.25,light rain
195,Verkhnyaya Inta,RU,65.9811,60.3094,16.43,80,20,19.6,few clouds
196,Bredasdorp,ZA,-34.5322,20.0403,69.8,92,100,16.02,light rain
197,Ola,RU,59.5833,151.2833,-7.22,84,100,11.32,overcast clouds
198,Trairi,BR,-3.2778,-39.2689,75.36,89,100,3.49,overcast clouds
199,Isla Mujeres,MX,21.2311,-86.731,73.45,64,48,11.97,scattered clouds
200,Ostrovnoy,RU,68.0531,39.5131,29.75,86,74,23.6,broken clouds
201,Nisia Floresta,BR,-6.0911,-35.2086,79.18,82,90,6.17,overcast clouds
